cartel,lat,lon,1976-1980,1981-1982,1982-1988,1989-1989,1990-1990,1991-1993,1994-2000,2001-2002,2003-2003,2004-2005,2006-2007,2008-2010,2011-2012,2013-2013,2014-2014,2015-2015,2016-2016
Beltrán Leyva,25,-107.5,0,0,0,0,0,0,0,0,0,0,0,58,58,40,40,50,40
Caballeros Templarios,19.166667,-101.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10
Colima,19.166667,-103.883333,0,0,0,0,0,0,21,50,50,0,0,0,8,90,0,0,0
Familia Michoacana,20.3333,-102.017,0,0,0,0,0,0,0,0,0,0,25,25,25,40,30,30,20
Golfo,24.283333,-98.566667,66,66,66,40,40,40,70,100,100,100,100,100,100,50,20,20,20
Guadalajara,20.676667,-103.3475,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalisco Nueva Generación,20.566667,-103.683333,0,0,0,0,0,0,0,0,0,0,0,0,25,90,80,100,140
Juárez,28.816667,-106.433333,0,0,0,0,40,40,31,85,85,85,58,58,58,40,10,10,10
Milenio,19.166667,-101.9,0,0,16,20,20,20,15,42,42,42,0,0,0,0,0,0,0
Oaxaca ,17.067778,-96.72,16,16,16,20,20,20,5,21,21,21,0,0,0,0,0,0,0
Sinaloa,24.806944,-107.393889,100,0,0,0,100,100,100,100,100,100,80,80,80,100,100,100,110
Tijuana,32.525,-117.033333,0,0,0,0,80,80,31,64,64,64,25,25,25,30,20,10,10
Zetas,25.6490376,-100.4431804,0,0,0,0,0,0,0,0,14,14,100,100,100,60,30,10,10